4/1/2011 9:38,,,,,,
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
1,1,-0.52,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.51,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.54,79,79,79,0
1,1,-0.54,79,79,79,0
1,1,-0.54,79,79,79,0
1,1,-0.55,79,79,79,0
1,1,-0.55,79,79,79,0
1,1,-0.56,79,79,79,0
1,1,-0.56,79,79,79,0
1,1,-0.56,79,79,79,0
1,1,-0.55,79,79,79,0
1,1,-0.56,79,79,79,0
1,1,-0.56,79,79,79,0
1,1,-0.55,79,79,79,0
1,1,-0.56,79,79,79,0
1,1,-0.56,79,79,79,0
1,1,-0.57,79,79,79,0
1,1,-0.57,79,79,79,0
1,1,-0.58,79,79,79,0
1,1,-0.58,79,79,79,0
1,1,-0.58,79,79,79,0
1,1,-0.58,79,79,79,0
1,1,-0.58,79,79,79,0
1,1,-0.59,79,79,79,0
1,1,-0.59,79,79,79,0
1,1,-0.59,79,79,79,0
1,1,-0.6,79,79,79,0
1,1,-0.61,79,79,79,0
1,1,-0.62,79,79,79,0
1,1,-0.62,79,79,79,0
1,1,-0.61,79,79,79,0
1,1,-0.62,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.62,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.64,79,79,79,0
1,1,-0.64,79,79,79,0
1,1,-0.64,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.62,79,79,79,0
1,1,-0.62,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.63,79,79,79,0
1,1,-0.65,79,79,79,0
1,1,-0.65,79,79,79,0
1,1,-0.65,79,79,79,0
1,1,-0.65,79,79,79,0
1,1,-0.64,79,79,79,0
1,1,-0.64,79,79,79,0
1,1,-0.64,79,79,79,0
1,1,-0.64,79,79,79,0
1,1,-0.65,79,79,79,0
1,1,-0.65,79,79,79,0
1,1,-0.66,79,79,79,0
1,1,-0.66,79,79,79,0
1,1,-0.66,79,79,79,0
1,1,-0.65,79,79,79,0
1,1,-0.66,79,79,79,0
1,1,-0.66,79,79,79,0
1,1,-0.66,79,79,79,0
1,1,-0.66,79,79,79,0
1,1,-0.67,79,79,79,0
1,1,-0.67,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.69,79,79,79,0
1,1,-0.69,79,79,79,0
1,1,-0.69,79,79,79,0
1,1,-0.7,79,79,79,0
1,1,-0.7,79,79,79,0
1,1,-0.69,79,79,79,0
1,1,-0.69,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.67,79,79,79,0
1,1,-0.67,79,79,79,0
1,1,-0.67,79,79,79,0
1,1,-0.67,79,79,79,0
1,1,-0.67,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.68,79,79,79,0
1,1,-0.69,79,79,79,0
1,1,-0.69,79,79,79,0
1,1,-0.69,79,79,79,0
1,1,-0.69,79,79,79,0
1,1,-0.69,79,79,79,0
1,1,-0.7,79,79,79,0
1,1,-0.7,79,79,79,0
1,1,-0.71,79,79,79,0
1,1,-0.71,79,79,79,0
1,1,-0.72,79,79,79,0
1,1,-0.72,79,79,79,0
1,1,-0.72,79,79,79,0
1,1,-0.73,79,79,79,0
1,1,-0.73,79,79,79,0
1,1,-0.73,79,79,79,0
1,1,-0.73,79,79,79,0
1,1,-0.73,79,79,79,0
1,1,-0.73,79,79,79,0
1,1,-0.75,79,79,79,0
1,1,-0.75,79,79,79,0
1,1,-0.74,79,79,79,0
1,1,-0.74,79,79,79,0
1,1,-0.75,79,79,79,0
1,1,-0.75,79,79,79,0
1,1,-0.74,79,79,79,0
1,1,-0.75,79,79,79,0
1,1,-0.75,79,79,79,0
1,1,-0.74,79,79,79,0
1,1,-0.74,79,79,79,0
1,1,-0.75,79,79,79,0
1,1,-0.76,79,79,79,0
1,1,-0.76,79,79,79,0
1,1,-0.77,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.77,79,79,79,0
1,1,-0.77,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
