04/02/11 06:04 AM
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
1.00,1.00,-0.09,79.00,79.00,79.00,0.00,
1.00,1.00,-0.09,79.00,79.00,79.00,0.00,
1.00,1.00,-0.09,79.00,79.00,79.00,0.00,
1.00,1.00,-0.07,79.00,79.00,79.00,0.00,
1.00,1.00,-0.07,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.08,79.00,79.00,79.00,0.00,
1.00,1.00,-0.08,79.00,79.00,79.00,0.00,
1.00,1.00,-0.06,79.00,79.00,79.00,0.00,
1.00,1.00,-0.06,79.00,79.00,79.00,0.00,
1.00,1.00,-0.01,79.00,79.00,79.00,0.00,
1.00,1.00,-0.01,79.00,79.00,79.00,0.00,
1.00,1.00,-0.01,79.00,79.00,79.00,0.00,
1.00,1.00,0.06,79.00,79.00,79.00,0.00,
1.00,1.00,0.06,79.00,79.00,79.00,0.00,
1.00,1.00,0.10,79.00,79.00,79.00,0.00,
1.00,1.00,0.10,79.00,79.00,79.00,0.00,
1.00,1.00,0.10,79.00,79.00,79.00,0.00,
1.00,1.00,0.11,79.00,79.00,79.00,0.00,
1.00,1.00,0.11,79.00,79.00,79.00,0.00,
1.00,1.00,0.16,79.00,79.00,79.00,0.00,
1.00,1.00,0.16,79.00,79.00,79.00,0.00,
1.00,1.00,0.16,79.00,79.00,79.00,0.00,
1.00,1.00,0.16,79.00,79.00,79.00,0.00,
1.00,1.00,0.16,79.00,79.00,79.00,0.00,
1.00,1.00,0.20,79.00,79.00,79.00,0.00,
1.00,1.00,0.20,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.23,79.00,79.00,79.00,0.00,
1.00,1.00,0.23,79.00,79.00,79.00,0.00,
1.00,1.00,0.26,79.00,79.00,79.00,0.00,
1.00,1.00,0.26,79.00,79.00,79.00,0.00,
1.00,1.00,0.25,79.00,79.00,79.00,0.00,
1.00,1.00,0.25,79.00,79.00,79.00,0.00,
1.00,1.00,0.29,79.00,79.00,79.00,0.00,
1.00,1.00,0.29,79.00,79.00,79.00,0.00,
